staircase.thisTrialN,staircase.stepSize,staircase.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
23,0.5,6.0,56.67394510000031,57.173744499999884,57.173744499999884,57.173744499999884,57.473473600000034,left,-6.0,0,0,0.5198120999993989,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
24,0.5,6.5,57.723863500000334,58.22323740000047,58.22323740000047,58.22323740000047,58.52302409999993,right,6.5,1,1,0.6892542999994475,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
25,0.5,6.5,58.939993900000445,59.439904700000625,59.439904700000625,59.439904700000625,59.74014790000001,left,-6.5,1,1,0.5236869000000297,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
26,0.5,6.5,59.989131799999996,60.48959720000039,60.48959720000039,60.48959720000039,60.789641700000175,right,6.5,1,1,0.6518704999989495,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
27,0.5,6.0,61.173248400000375,61.67263940000066,61.67263940000066,61.67263940000066,61.97254140000041,left,-6.0,1,1,0.4026736999994682,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
28,0.5,6.0,62.10603790000005,62.606164400000125,62.606164400000125,62.606164400000125,62.90575930000068,right,6.0,1,1,0.3475118999995175,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
29,0.5,6.0,62.972147600000426,63.47215270000015,63.47215270000015,63.47215270000015,63.77294040000015,left,-6.0,1,1,0.369335599999431,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
30,0.5,5.5,63.872243300000264,64.37201230000028,64.37201230000028,64.37201230000028,64.67181440000059,right,5.5,1,1,0.3412183999998888,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
31,0.5,5.5,64.73854140000003,65.23805820000052,65.23805820000052,65.23805820000052,,left,-5.5,1,1,0.2556950999996843,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
32,0.5,5.5,65.5219074000006,66.02138290000039,66.02138290000039,66.02138290000039,66.32203949999985,right,5.5,1,1,0.5324280999993789,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
33,0.5,5.0,66.57155200000034,67.0710951000001,67.0710951000001,67.0710951000001,67.37136809999993,right,5.0,0,0,0.3171085000003586,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
34,0.5,5.5,67.40503590000026,67.90412070000002,67.90412070000002,67.90412070000002,68.2048235000002,right,5.5,1,1,0.4995902999999089,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
35,0.5,5.5,68.4220589000006,68.91993199999979,68.91993199999979,68.93778629999997,,right,5.5,0,0,0.11443939999935537,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
36,0.5,6.0,69.05428209999991,69.55394930000057,69.55394930000057,69.55394930000057,69.85414130000026,left,-6.0,0,0,0.5083135999993829,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
37,0.5,6.5,70.08735720000004,70.58723830000054,70.58723830000054,70.58723830000054,70.8869050000003,right,6.5,0,0,0.38698829999975715,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
38,0.5,7.0,71.00436230000014,71.50385310000001,71.50385310000001,71.50385310000001,,left,-7.0,1,1,0.17490120000002207,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
39,0.5,7.0,71.7185156000005,72.20351389999996,72.20351389999996,72.22156280000036,72.50343350000003,left,-7.0,1,1,0.5487937999996575,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
40,0.5,7.0,72.76990350000051,73.26952580000034,73.26952580000034,73.26952580000034,73.56975130000046,left,-7.0,1,1,0.4157813999991049,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
41,0.5,6.5,73.70322080000005,74.2023033000005,74.2023033000005,74.2023033000005,74.50302900000042,right,6.5,0,0,0.3548953999988953,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
42,0.5,7.0,74.58673420000014,75.08593509999992,75.08593509999992,75.08593509999992,75.38601840000047,right,7.0,0,0,0.4184887000001254,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
43,0.5,7.5,75.53555030000007,76.03851329999998,76.03851329999998,76.03851329999998,76.35259500000029,right,7.5,0,0,0.34872319999885804,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
44,0.5,8.0,76.41910960000041,76.91894899999988,76.91894899999988,76.91894899999988,77.21900509999978,right,8.0,0,0,0.3626213999996253,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
45,0.5,8.5,77.30241350000051,77.80166800000006,77.80166800000006,77.80166800000006,78.10196590000032,right,8.5,0,0,0.37803789999907167,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
46,0.5,9.0,78.20236889999978,78.70176559999982,78.70176559999982,78.70176559999982,79.00189310000042,left,-9.0,1,1,0.533508399999846,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
47,0.5,9.0,79.25186900000062,79.75157529999979,79.75157529999979,79.75157529999979,80.05156050000005,left,-9.0,1,1,0.41672729999936564,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
48,0.5,9.0,80.1853116000002,80.68459020000046,80.68459020000046,80.68459020000046,80.98502129999997,right,9.0,0,0,0.3438039000002391,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
49,0.5,9.5,81.05103980000058,81.5511860000006,81.5511860000006,81.5511860000006,81.85114280000016,left,-9.5,1,1,0.43840499999987514,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
